date,region,product,revenue,units_sold,customer_segment
2023-01-15,North,Widget A,15000,150,Enterprise
2023-01-20,South,Widget B,12000,120,SMB
2023-01-25,East,Widget A,18000,180,Enterprise
2023-02-01,West,Widget C,9000,90,Consumer
2023-02-05,North,Widget B,14000,140,SMB
2023-02-10,South,Widget A,16000,160,Enterprise
2023-02-15,East,Widget C,7000,70,Consumer
2023-02-20,West,Widget B,13000,130,SMB
2023-03-01,North,Widget C,8000,80,Consumer
2023-03-05,South,Widget B,11000,110,SMB
2023-03-10,East,Widget A,19000,190,Enterprise
2023-03-15,West,Widget C,6000,60,Consumer
2023-03-20,North,Widget B,15000,150,SMB
2023-03-25,South,Widget A,17000,170,Enterprise
2023-04-01,East,Widget C,8500,85,Consumer
2023-04-05,West,Widget B,12500,125,SMB
2023-04-10,North,Widget A,20000,200,Enterprise
2023-04-15,South,Widget C,7500,75,Consumer
2023-04-20,East,Widget B,13500,135,SMB
2023-04-25,West,Widget A,18500,185,Enterprise
2023-05-01,North,Widget C,9000,90,Consumer
2023-05-05,South,Widget B,14500,145,SMB
2023-05-10,East,Widget A,21000,210,Enterprise
2023-05-15,West,Widget C,8000,80,Consumer
2023-05-20,North,Widget B,16000,160,SMB
2023-05-25,South,Widget A,19500,195,Enterprise
2023-06-01,East,Widget C,9500,95,Consumer
2023-06-05,West,Widget B,15500,155,SMB
2023-06-10,North,Widget A,22000,220,Enterprise
2023-06-15,South,Widget C,8500,85,Consumer
